RBR XR-620  6.60 018573 (Windows: 6.13 - Minimum required: 6.13)
Host time     18/06/22 09:41:55
Logger time   18/06/22 09:42:03
Logging start 18/04/30 08:24:20
Logging end   18/06/15 15:00:00
Sample period          00:01:00
Number of channels =  3, number of samples =  66636, mode: Logging Complete
N03%9.4f
Calibration  1: -0.002382818000000
                154.906994200000010
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003426915600263
                -0.000257234520228
                0.000002313140325
                -0.000000071195509 Degrees_C
Calibration  3: 8.129605369038000
                930.138389642962010
                20.635332533391001
                1.799385691527000 deciBars
Correction to conductivity: 1.4000000e-005 -2.0000000e-004 1.4900000e+001 7.0000000e-007
Memory type: 6 AT45DB642D_LP
Averaging: NONE
Logger start:Now 

     Cond      Temp      Pres  Salinity  DensAnom 
  33.3093   12.3223   10.2052   28.3118   21.3433 
  33.2991   12.3128   10.2072   28.3094   21.3432 
  33.2895   12.3047   10.2026   28.3064   21.3424 
  33.2929   12.2964   10.2069   28.3160   21.3513 
  33.2862   12.2847   10.2049   28.3184   21.3552 
  33.2788   12.2790   10.2043   28.3158   21.3542 
  33.2626   12.2719   10.2042   28.3058   21.3478 
  33.2480   12.2592   10.2020   28.3016   21.3468 
  33.2411   12.2461   10.2048   28.3050   21.3518 
  33.2353   12.2444   10.2056   28.3009   21.3489 
  33.2148   12.2356   10.2077   28.2882   21.3407 
  33.2084   12.2279   10.2059   28.2879   21.3419 
  33.1929   12.2103   10.2065   28.2866   21.3440 
  33.1887   12.2096   10.2072   28.2831   21.3415 
  33.1782   12.2014   10.2119   28.2794   21.3401 
  33.1678   12.1916   10.2066   28.2771   21.3400 
  33.1612   12.1822   10.2059   28.2778   21.3423 
  33.1477   12.1722   10.2039   28.2727   21.3401 
  33.1218   12.1649   10.2074   28.2537   21.3267 
  33.1265   12.1575   10.2063   28.2638   21.3358 
  33.1181   12.1510   10.2067   28.2608   21.3347 
  33.1083   12.1395   10.2058   28.2602   21.3363 
  33.1032   12.1300   10.2093   28.2625   21.3398 
  33.0909   12.1224   10.2038   28.2566   21.3366 
  33.0812   12.1147   10.2083   28.2533   21.3354 
  33.0696   12.1068   10.2060   28.2483   21.3329 
  33.0725   12.0971   10.2114   28.2584   21.3425 
  33.0634   12.0879   10.2057   28.2567   21.3428 
  33.0554   12.0791   10.2034   28.2558   21.3437 
  33.0502   12.0712   10.2051   28.2568   21.3459 
  33.0359   12.0662   10.2100   28.2470   21.3392 
  33.0273   12.0569   10.2108   28.2459   21.3400 
  33.0175   12.0483   10.2124   28.2431   21.3394 
  33.0087   12.0386   10.2070   28.2421   21.3403 
  33.0024   12.0290   10.2063   28.2434   21.3430 
  32.9897   12.0223   10.2106   28.2365   21.3389 
  32.9844   12.0118   10.2077   28.2393   21.3429 
  32.9865   12.0039   10.2089   28.2473   21.3505 
  32.9896   11.9951   10.2075   28.2569   21.3595 
  32.9790   11.9876   10.2031   28.2526   21.3574 
  32.9637   11.9778   10.2143   28.2455   21.3538 
  32.9534   11.9701   10.2074   28.2415   21.3520 
  32.9528   11.9657   10.2091   28.2442   21.3549 
  32.9411   11.9562   10.2165   28.2403   21.3536 
  32.9383   11.9517   10.2118   28.2411   21.3550 
  32.9252   11.9394   10.2122   28.2380   21.3547 
  32.9217   11.9400   10.2134   28.2342   21.3517 
  32.9057   11.9338   10.2090   28.2237   21.3446 
  32.8961   11.9269   10.2130   28.2198   21.3429 
  32.9100   11.9220   10.2131   28.2367   21.3568 
  32.9091   11.9144   10.2116   28.2416   21.3620 
  32.8978   11.9105   10.2141   28.2338   21.3566 
  32.8942   11.9063   10.2083   28.2335   21.3571 
  32.8847   11.8996   10.2104   28.2297   21.3553 
  32.8788   11.8951   10.2118   28.2274   21.3544 
  32.8699   11.8909   10.2114   28.2221   21.3510 
  32.8676   11.8848   10.2135   28.2246   21.3540 
  32.8573   11.8795   10.2124   28.2188   21.3504 
  32.8625   11.8758   10.2187   28.2265   21.3571 
  32.8563   11.8700   10.2163   28.2251   21.3570 
  32.8506   11.8648   10.2051   28.2236   21.3567 
  32.8390   11.8601   10.2159   28.2161   21.3518 
  32.8404   11.8573   10.2151   28.2196   21.3549 
  32.8296   11.8526   10.2144   28.2129   21.3506 
  32.8306   11.8481   10.2209   28.2172   21.3548 
  32.8045   11.8438   10.2174   28.1956   21.3388 
